product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
88894,Alliance pour homme Exotic Wind,wedding_ring,TWN832,1059.0,476.0,2170.0,1,4297,exclusive,690,Alliances pour hommes,glfr,men
108712,Pendentif pour femme Wandise,necklace,Wandise,886.0,540.0,9217.0,1,5299,cabochon,601,Pendentifs avec colliers,glfr,women
101512,Boucle d'oreille femme Gianara 18 mm,earring,GIANARA-18M,799.0,495.0,8540.0,1,5474,huggies_&_hoops,602,Boucles d'oreilles,glfr,women
110785,Pendentif pour femme Cristin,pendant,cristin,1291.0,826.0,188344.0,1,5243,premium,601,Pendentifs avec colliers,glfr,women
96050,Bague de Mariage Alluring Spring 5 mm,wedding_ring,GWD-T45005,1724.0,556.0,17718.0,1,4090,twinset,688,Bagues de mariage,glfr,False
100007,Bague de fiançailles Purnima,ring,PURNIMA,953.0,667.0,140707.0,1,"4380,6071","4380,6071",605,Bagues de fiançailles,glfr,women
95852,Alliance pour femme Charming Beauty 5mm,wedding_ring,GWD-T211770,806.0,235.0,8223.0,1,4090,twinset,689,Alliances pour femmes,glfr,women
90993,Bague de fiançailles Gemma 0.25crt,ring,G100465-25,614.0,454.0,12243.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
102863,GLAMIRA Ring Leveria Ø6 mm,ring,PH18-6,1406.0,885.0,18431.0,1,4661,pearl,763,PEARL's Rings,glus,women
101878,GLAMIRA Ring Meirona,ring,WSR-34,1094.0,765.0,8205.0,1,4716,flower,719,Plain Design Rings,glus,women
96446,Bague de fiançailles Manarela,ring,Manarela,834.0,583.0,26850.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
96482,Bague de fiançailles Caprina,ring,CAPRINA,907.0,498.0,62222.0,1,4377,halo,605,Bagues de fiançailles,glfr,women
104026,Bague pour homme Bogdan,ring,bogdan,1297.0,778.0,13277.0,1,4378,fashion,617,Bagues,glfr,men
99028,Bague pour femmes Amazing Trust 8 mm,wedding_ring,GWD-M1004-8-W,906.0,297.0,9592.0,1,4396,memoire,0,,glfr,women
93061,Classic Sparkle 7mm,wedding_ring,GWD17380,2358.0,660.0,18311.0,1,159,classic,0,,glfr,False
110394,Pendentif pour homme Christian,pendant,Men-Christian,1836.0,1285.0,13800.0,1,5157,symbols,849,Colliers,glfr,men
107980,Bague de Mariage Alluring Night 4 mm,wedding_ring,GWD-L-42000-4,988.0,395.0,9967.0,1,164,simple,688,Bagues de mariage,glfr,False
97637,Glamira Collier Mishka,pendant,Mishka,189.0,191.0,1557.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
100037,Pendentif pour femme Frodine,pendant,FRODINE,203.0,172.0,50735.0,1,5171,classic_solitaire,601,Pendentifs avec colliers,glfr,women
102983,GLAMIRA Piercing Nez Ingelise,nose_pin,NSP-081,100.0,82.0,828.0,1,,,745,Piercings nez,glfr,False
110789,Pendentif pour femme Ilana,pendant,ilana,586.0,439.0,29193.0,1,5243,premium,601,Pendentifs avec colliers,glfr,women
108854,Bague de Mariage Unique Harmony 6 mm,wedding_ring,GWD-H1020-6,1465.0,586.0,15160.0,1,4090,twinset,688,Bagues de mariage,glfr,False
108151,Alliance pour femme Alluring Night 4 mm,wedding_ring,GWD-L-42000-4-W,467.0,186.0,4735.0,1,164,simple,689,Alliances pour femmes,glfr,women
92527,Collier pour femme Marcelina,necklace,Pendant-58,154.0,170.0,1640.0,1,176,infinity,601,Pendentifs avec colliers,glfr,women
109510,Pendentif pour femme Sangita,pendant,sangita,367.0,256.0,3358.0,1,5156,keys,601,Pendentifs avec colliers,glfr,women
92198,Bague de fiançailles Amora 0.16 crt,ring,MODEL-16---0.16CRT,604.0,453.0,5477.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
106048,Alliance pour femme Pure Touch 5 mm,wedding_ring,GWD-N1120-5-W,597.0,238.0,6052.0,1,164,simple,689,Alliances pour femmes,glfr,women
103727,Bague de Mariage Dazzling Molly 4 mm,wedding_ring,GWD-H6818014,1179.0,471.0,12213.0,1,4090,twinset,688,Bagues de mariage,glfr,False
86706,Bague de fiançailles Bridal Luxuy,ring,G100810,799.0,607.0,7167.0,1,4620,tension,605,Bagues de fiançailles,glfr,women
110549,Pendentif pour femme Melpomene,pendant,melpomene-pendant,396.0,277.0,4046.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
98532,GLAMIRA Piercing Nez Vivijan,nose_pin,NSP-029,99.0,79.0,907.0,1,,,745,Piercings nez,glfr,women
91910,Boucle d'oreille femme Avery ,earring,ER15-8,594.0,415.0,7015.0,1,4661,pearl,765,Boucles d'oreille PERLES,glfr,women
108948,Bague de Mariage Essential Beauty 6 mm,wedding_ring,GWD-H1047-6,1479.0,591.0,14955.0,1,4291,vintage,688,Bagues de mariage,glfr,False
108322,Alliance pour homme Alluring Night 4 mm,wedding_ring,GWD-L-42000-4-M,522.0,208.0,5241.0,1,164,simple,690,Alliances pour hommes,glfr,men
95540,Bague de fiançailles Ovate,ring,GLNR400,816.0,571.0,14586.0,1,4297,exclusive,605,Bagues de fiançailles,glfr,women
100357,Bague de Mariage Wondrous Embroidery 5 mm,wedding_ring,FCW-018-5,1698.0,470.0,18432.0,1,4396,memoire,688,Bagues de mariage,glfr,False
93016,Bague pour femmes Classic Thought 2 mm,wedding_ring,GWD14410,294.0,76.0,3307.0,1,159,classic,0,,glfr,women
95401,Bague de Mariage Pure Nice,wedding_ring,GWD-T12920,1392.0,375.0,14024.0,1,164,simple,688,Bagues de mariage,glfr,False
89525,Boucle d'oreille femme Marietta,earring,E20148,435.0,178.0,5194.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
98051,Boucle d'oreille femme Corinth,earring,DE-022,401.0,320.0,3735.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
101338,Bague pour homme Tovias,ring,MRI-028,1890.0,1190.0,18087.0,1,4378,fashion,617,Bagues,glfr,men
90845,Bague de fiançailles Alisha 0.16crt,ring,G100470-16,732.0,497.0,6232.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
108124,Alliance pour femme Charismatic Beauty 5 mm,wedding_ring,GWD-L-35000-5-W,597.0,238.0,6040.0,1,164,simple,689,Alliances pour femmes,glfr,women
103205,Bague de fiançailles Tinsley,ring,tinsley,628.0,489.0,104629.0,1,5169,side-stone,605,Bagues de fiançailles,glfr,women
102473,Bracelet pour femme Roxana,bracelet,WBCL-045,449.0,323.0,3431.0,1,5168,chain_bracelet,624,Bracelets,glfr,women
80414,Wedding Ring Bright Life Basic,wedding_ring,C4650-001/F2264,2155.0,969.0,16647.0,1,4297,exclusive,688,Wedding Rings,glus,False
98127,Boucle d'oreille femme Bahity,earring,DE-012,442.0,371.0,3513.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
92298,Bague de fiançailles Cassidy 0.5 crt,ring,CASSIDY-0.5CRT,616.0,443.0,41660.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
98714,Alliance pour femme Pure Tree 4 mm,wedding_ring,GWD-S4005-W,530.0,131.0,5612.0,1,164,simple,689,Alliances pour femmes,glfr,women
101469,GLAMIRA Bague de Phalange Karissa,knuckle_ring,karissa,247.0,209.0,1852.0,1,,,751,Bagues de Phalange,glfr,False
103914,Glamira Bague Nevasia,ring,nevasia,1251.0,899.0,16481.0,1,5299,cabochon,27,Bagues,glfr,women
98069,Boucle d'oreille femme Ginevra,earring,DE-035,518.0,388.0,5239.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
101432,GLAMIRA Bague de Phalange Vitalis,knuckle_ring,VITALIS,359.0,294.0,2880.0,1,,,751,Bagues de Phalange,glfr,False
101561,GLAMIRA Boucles D'oreilles Manara 25 mm,earring,MANARA-25M,673.0,457.0,5047.0,1,5160,hoops_&_huggies,602,Boucles d'oreilles,glfr,women
97404,GLAMIRA Pendant Felecia,pendant,FELECIA,665.0,558.0,5982.0,1,4378,fashion,601,Necklaces,glus,women
98872,Bague pour femmes Charming Filirt 8 mm,wedding_ring,GWD-S4015-8-W,1288.0,437.0,13043.0,1,164,simple,0,,glfr,women
92297,Bague de fiançailles Cassidy,ring,CASSIDY-0.24CRT,583.0,419.0,12412.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
95202,Bague de fiançailles Amanda 3.0crt,ring,Amanda-3.0crt,985.0,709.0,181387.0,1,5171,classic_solitaire,605,Bagues de fiançailles,glfr,women
108786,Bague de Mariage Magic Truth 4 mm,wedding_ring,GWD-H1004-4,996.0,398.0,10146.0,1,4090,twinset,688,Bagues de mariage,glfr,False
98242,Bague pour femmes Unique Joy 8 mm,wedding_ring,GWD-S3508-W,1203.0,351.0,12125.0,1,164,simple,0,,glfr,women
101542,GLAMIRA Boucles D'oreilles Natara 32 mm,earring,NATARA-32M,1165.0,605.0,8737.0,1,5160,hoops_&_huggies,602,Boucles d'oreilles,glfr,women
106982,Alliance pour homme Fantastic Spell 5 mm,wedding_ring,GWD-H14319260-M,671.0,268.0,6736.0,1,4090,twinset,690,Alliances pour hommes,glfr,men
98905,Alliance pour femme Alluring Duty 4 mm,wedding_ring,GWD-S4023-W,508.0,148.0,5159.0,1,164,simple,689,Alliances pour femmes,glfr,women
101562,GLAMIRA Boucles D'oreilles Manara 32 mm,earring,MANARA-32M,912.0,528.0,6840.0,1,5160,hoops_&_huggies,602,Boucles d'oreilles,glfr,women
98894,Bague pour femmes Bright Queen 10 mm,wedding_ring,GWD-S4020-10-W,1382.0,552.0,14019.0,1,164,simple,0,,glfr,women
89423,Bague de fiançailles Miranda,ring,GI00758,733.0,542.0,14236.0,1,4377,halo,605,Bagues de fiançailles,glfr,women
97625,Glamira Pendentif Mace,pendant,Mace,301.0,240.0,2397.0,1,5155,animals,601,Pendentifs avec colliers,glfr,women
91218,Bouton de manchette Primerio,cufflink,CUFF2,1404.0,1053.0,13082.0,1,4378,fashion,54,Boutons de manchettes,glfr,men
103179,Bague de fiançailles Roline,ring,roline1,723.0,542.0,67787.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
95922,Bague pour hommes Bright Flash 10mm,wedding_ring,GWD-T212480,2020.0,500.0,20285.0,1,4090,twinset,0,,glfr,men
105951,Alliance pour femme White Crown 4 mm,wedding_ring,GWD-N1112-4-W,461.0,184.0,4654.0,1,164,simple,689,Alliances pour femmes,glfr,women
99559,Boucle d'oreille homme Lean,earring,MER-015,154.0,126.0,1348.0,1,5256,studs,746,Boucles d'oreilles,glfr,men
90972,Bague de fiançailles Magnolia 0.16 crt,ring,RMA016,530.0,402.0,4554.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
90298,Ensemble de Bagues Exquisite,-1,OVAL5-SET,1471.0,1059.0,23131.0,1,,,625,Ensembles de bagues,glfr,women
103383,Bague de fiançailles Allecra 0.5 crt,ring,nlp007,698.0,502.0,41803.0,1,5169,side-stone,605,Bagues de fiançailles,glfr,women
96866,GLAMIRA Collier Sentir,necklace,WSP-49,726.0,548.0,5585.0,1,1289,heart,601,Pendentifs avec colliers,glfr,women
98854,Bague de Mariage Alluring Duty 6 mm,wedding_ring,GWD-S4023-6,1730.0,505.0,17431.0,1,164,simple,688,Bagues de mariage,glfr,False
103413,Bague de fiançailles Linderoth 1.0 crt,ring,nlp037,683.0,566.0,104447.0,1,5171,classic_solitaire,605,Bagues de fiançailles,glfr,women
89378,Bague de fiançailles Sabella,ring,S00011,663.0,450.0,16065.0,1,5171,classic_solitaire,605,Bagues de fiançailles,glfr,women
100002,Bague de fiançailles Palmier,ring,PALMIER,734.0,550.0,43257.0,1,4377,halo,605,Bagues de fiançailles,glfr,women
102873,GLAMIRA Bague Littria Ø8 mm,ring,PH23-8,1060.0,678.0,10137.0,1,4661,pearl,763,Bagues PERLES,glfr,women
97403,Pendentif pour femme Chika,pendant,CHİKA,193.0,164.0,1669.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
95025,Boucle d'oreille femme Mekselina,earring,GLE90,962.0,644.0,7576.0,1,5474,huggies_&_hoops,602,Boucles d'oreilles,glfr,women
110037,Collier pour femme Ilenn,pendant,ilenn,341.0,278.0,3078.0,1,5155,animals,601,Pendentifs avec colliers,glfr,women
84884,Bague de fiançailles Kate,ring,G100170,872.0,566.0,13439.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
105711,Bague de Mariage Private Luck 6 mm,wedding_ring,GWD-N1070-6,1514.0,605.0,16043.0,1,4291,vintage,688,Bagues de mariage,glfr,False
101912,Bague de fiançailles Ahivia,ring,Ahivia,1151.0,736.0,14683.0,1,4297,exclusive,605,Bagues de fiançailles,glfr,women
110586,Boucle d'oreille femme Elidia,earring,elidia,482.0,356.0,5875.0,1,5473,drops_&_dangle,602,Boucles d'oreilles,glfr,women
92222,Bague de fiançailles Suela 0.16 crt,ring,suela-016crt,561.0,415.0,5006.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
